"Assembly ID","Base Catalog Number","Illumina Sample Filename","ONT Sample Filename"
"4858520c07bf4b1b","BAA-2440","ILM3_2019AZ01_BAA-2440D-5.fastq.gz","ONG2_2019AZ01_BAA-2440D-5.fastq.gz"
"4830435640974b6b","35984","ILM3_2020BH03_35984.fastq.gz","ONG3_2020AP04_35984.fastq.gz"
"482dee96b587419b","12478","ILM3_2019CV05_12478DX.fastq.gz","ONG2_2019EX02_12478DX.fastq.gz"
"47d37990fcfb4b41","49594","ILM3_2020AF10_49594.fastq.gz","ONG2_2020AP05_49594.fastq.gz"
"47cc9be8d8b048f2","VR-1580","ILM3_2020CS11_VR-1580D.fastq.gz",""
"47a0511938964f14","43782","ILN1_2020AC41_43782.fastq.gz","ONG3_2020DS04_43782.fastq.gz"
"4783a947a4cb4fba","35967","ILM3_2019AH09_35967D-5.fastq.gz","ONG2_2019AH01_35967D-5.fastq.gz"
"4762fdd895094939","700392","ILM3_2018AA04_700392D-5.fastq.gz","ONG2_2019AD01_700392D-5.fastq.gz"
"474a01679f2746f6","BAA-2836","ILN1_2020AA46_BAA-2836.fastq.gz","ONG3_2020CU05_BAA-2836.fastq.gz"
"4726466cd7834794","10556","ILM3_2019AY08_10556D-5.fastq.gz","ONG2_2019AU03_10556D-5.fastq.gz"
"471b854505dd4938","13368","ILM3_2018AF04_13368.fastq.gz","ONG1_2019AO01_13368.fastq.gz"
"46fdd65aa1234b32","33400","ILM3_2020CG12_33400.fastq.gz","ONG3_2020CD03_33400.fastq.gz"
"46f3673751b64ca9","VR-24","ILM3_2020CS10_VR-24D.fastq.gz",""
"46e1531ec16f4b87","35881","ILM3_2019CP08_35881D-5.fastq.gz","ONG2_2019EK02_35881D-5.fastq.gz"
"46c27885c1924c1d","12472","ILM3_2019AO02_12472DX.fastq.gz","ONG2_2019BN02_12472DX.fastq.gz"
"46966a9347bc4ab3","24843","ILV0_2020AB06_24843D-5.fastq.gz","ONT_2020sample6_24843D-5.fastq.gz"
"4648d7cfaec847a4","17749","ILM3_2019AO04_17749DX.fastq.gz","ONG2_2019BM01_17749DX.fastq.gz"
"45f883e78c6c4b0b","BAA-3113","ILM3_2020AU05_BAA-3113.fastq.gz","ONG2_2020BF05_BAA-3113.fastq.gz"
"45edfd1769b94ef0","VR-1558","ILM1_2020ZE01_VR-1558.fastq.gz",""
"45e5f6b7a9ce4803","22019","ILV0_2020AA25_22019D-5.fastq.gz","ONG2_2020AH03_22019D-5.fastq.gz"
"45d844e72c354c96","BAA-1175","ILM3_2020BY05_BAA-1175.fastq.gz","ONG3_2020BZ01_BAA-1175.fastq.gz"
"45d477fa226d4223","36239","ILM3_2019CW02_36239D-5.fastq.gz","ONG2_2020AC02_36239D-5.fastq.gz"
"45c679ad1fbe4441","43816","ILM3_2019CH08_43816DX.fastq.gz","ONG2_2019EA05_43816DX.fastq.gz"
"455da10dc5e645e7","VR-1738","ILM3_2020CP08_VR-1738D.fastq.gz",""
"453a4256c2544171","12872","ILM3_2018AF03_12872.fastq.gz","ONG1_2019AN04_12872.fastq.gz"
"45307e7c4356456e","700660","ILN1_2021AB29_700660.fastq.gz","ONG3_2021AF06_700660.fastq.gz"
"44dff5e71de64319","76901","ILM2_2019AO02_76901D-5.fastq.gz","ONG2_2020AY03_76901D-5.fastq.gz"
"44d71fb6d6cc487b","43950","ILN1_2020AB31_43950.fastq.gz","ONG3_2020DE03_43950.fastq.gz"
"44c7c22039534c62","17978","ILM3_2018AB02_17978D-5.fastq.gz","ONG2_2019BB04_17978D-5.fastq.gz"
"4490057e3c4a4222","VR-1550","ILM1_2020ZF01_VR-1550.fastq.gz",""
"448203af34d2475c","43808","ILM2_2019AB04_43808D-5.fastq.gz","ONG2_2019AS01_43808D-5.fastq.gz"
"446b3027dac54583","27591","ILN1_2021AB32_27591.fastq.gz","ONG3_2021AH02_27591.fastq.gz"
"44296dc98cfd4a2a","BAA-1409","ILN1_2021AA37_BAA-1409.fastq.gz","ONG3_2021AK03_BAA-1409.fastq.gz"
"43ed66757b7c4e92","39115","ILN1_2020AC45_39115.fastq.gz","ONG3_2020DQ04_39115.fastq.gz"
"43bcd1f04457438f","VR-106","ILM3_2020CP12_VR-106D.fastq.gz",""
"435afff0493a49ad","51573","ILM3_2019AH05_51573D-5.fastq.gz","ONG2_2019AG01_51573D-5.fastq.gz"
"42f883f6ad874bdd","16404","ILV0_2020AB03_16404D-2.fastq.gz","ONT_2020sample3_16404D-2.fastq.gz"
"42ef8c659a194cb1","35150","ILM3_2019CH10_35150DX.fastq.gz","ONG2_2019EA03_35150DX.fastq.gz"
"42e0492c5c8c45d6","53422","ILM2_2019AH04_53422D-5.fastq.gz","ONG2_2019DC01_53422D-5.fastq.gz"
"42cfbfa0ea4f4fba","33905","ILM3_2019CB04_33905D-5.fastq","ONG2_2019EY01_33905D-5.fastq.gz"
"429956f0396147ab","10145","ILM3_2019AO06_10145DX.fastq.gz","ONG2_2019BL01_10145DX.fastq.gz"
"42899db83bb94c7d","VR-1432","ILM3_2020BJ04_VR-1432DQ.fastq.gz",""
"4289823662694ab4","BAA-1556","ILM3_2019AQ03_BAA-1556DX.fastq","ONG2_2019BS02_BAA-1556DX.fastq.gz"
"42529b6270b44151","A-4612","ILM3_2019AX03_MYA-4612D-5.fastq.gz","ONG2_2019DU01_MYA-4612D-5.fastq.gz"
"4240d95313294765","VR-1680","ILM2_2019AE03_VR-1680D.fastq.gz",""
"422753e0f0884b9d","19606","ILM3_2018AH06_19606D-5.fastq.gz","ONG1_2018AL02_19606D-5.fastq.gz"
"42105b6733ae46bb","51907","ILM3_2019AU04_51907D-5.fastq.gz","ONG2_2019AS04_51907D-5.fastq.gz"
"420f1a8bac59494a","14028","ILM3_2019AI01_14028DX.fastq.gz","ONG1_2018AP04_14028DX_-80C.fastq.gz"
"420af1b46f214313","14573","ILN1_2021AB01_14573.fastq.gz","ONG3_2021AC01_14573.fastq.gz"
"4202c8a6d0554f88","9649","ILM3_2019AO03_9649DX.fastq.gz","ONG2_2019BK03_9649DX.fastq.gz"
"41f95faa7ec746d5","700786","ILM2_2020AT06_700786.fastq.gz","ONG3_2020CE03_700786.fastq.gz"
"41e616e4c18e4e9a","10708","ILM3_2019AB03_10708D-5.fastq.gz","ONG2_2019BN01_10708D-5.fastq.gz"
"41b7258e2c444ef1","10830","ILN1_2020AC27_10830.fastq.gz","ONG3_2020DK02_10830.fastq.gz"
"41ab9be6f74c4691","VR-1402","ILM3_2020AX02_VR-1402.fastq.gz",""
"4193997f1e184f79","19977","ILM3_2020AB02_19977D-5.fastq.gz","ONG2_2019AA02_19977D-5.fastq.gz"
"413fc023f8b74590","6013","ILM3_2019BO04_6013DX.fastq","ONG2_2019CR04_6013DX.fastq.gz"
"40d9d6025ac24879","17588","ILN0_2020AA07_17588.fastq.gz","ONG3_2020BU02_17588.fastq.gz"
"40d487effbea4ed1","35243","ILM3_2019AO08_35243D-5.fastq.gz","ONG2_2019AL03_35243D-5.fastq.gz"
