Item Number,GCF,Illumina Filename,ONT Filename
7073,GCF_900636435.1,ILN1_2020AA33_7073.fastq.gz,ONG3_2020CP01_7073.fastq.gz
14869,GCF_900475625.1,ILM3_2019BF02_14869DX.fastq.gz,ONG2_2019CI04_14869DX.fastq.gz
484,GCF_000212695.1,ILN1_2021AA08_484.fastq.gz,ONG3_2020DT04_484.fastq.gz
14579,GCF_006094295.1,ILM3_2019AD04_14579D-5.fastq.gz,ONG2_2019AP03_14579D-5.fastq.gz
700721,GCF_000016305.1,ILM3_2019AK08_700721D-5.fastq.gz,ONG2_2019BL03_700721D-5.fastq.gz
393,GCF_000829055.1,ILM3_2019BW03_393DX.fastq.gz,ONG2_2019DB11_393DX.fastq.gz
51146,GCF_004803815.1,ILM3_2020CI06_51146.fastq.gz,ONG3_2020CH01_51146.fastq.gz
11774,GCF_004101945.1,ILM3_2018AF01_11774.fastq.gz,ONG1_2019AO04_11774.fastq.gz
15826,GCF_900637305.1,ILN1_2021AB18_15826.fastq.gz,ONG3_2021AF02_15826.fastq.gz
6919,GCF_003030305.1,ILM3_2019BF01_6919DX.fastq,ONG2_2019CJ05_6919DX.fastq.gz
13880,GCF_017299035.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298795.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
19718,GCF_000009145.1,ILM3_2019AG10_19718D-5.fastq,ONG2_2019BN04_19718D-5.fastq.gz
27853,GCF_001687285.1,ILM3_2018AJ10_27853DX.fastq,ONG2_2019AN04_27853DX.fastq.gz
4342,GCF_000832845.1,ILM2_2018AE02_4342.fastq.gz,ONG1_2018AJ02_4342.fastq.gz
27164,GCF_001676785.2,ILM3_2019BL09_27164DX.fastq.gz,ONG2_2019DK03_27164DX.fastq.gz
824,GCF_000008765.1,ILM3_2019AG01_824D-5.fastq,ONG2_2019AO04_824D-5.fastq.gz
6051,GCF_006088795.1,ILM3_2018AG05_6051.fastq.gz,ONM2_2018AC09_6051.fastq.gz
15697,GCF_000269965.1,ILM3_2019AC05_15697D-5.fastq.gz,ONG2_2019BJ05_15697D-5.fastq.gz
51908,GCF_000019525.1,ILM3_2019CB03_51908D-5.fastq.gz,ONG2_2019ED04_51908D-5.fastq.gz
43504,GCF_900478295.1,ILM3_2018AC05_43504D-5.fastq.gz,ONM1_2018AB01_43504D-5.fastq.gz
33238,GCF_004803795.1,ILM3_2018AH08_33238D-5.fastq.gz,ONG1_2018AL04_33238D-5.fastq.gz
8459,GCF_000336405.1,ILN1_2020AA44_8459.fastq.gz,ONG3_2020CN05_8459.fastq.gz
19606,GCF_009035845.1,ILM3_2018AH06_19606D-5.fastq.gz,ONG1_2018AL02_19606D-5.fastq.gz
25259,GCF_000012745.1,ILM3_2019AT06_25259D-5.fastq.gz,ONG2_2019BD05_25259D-5.fastq.gz
33152,GCF_001752745.1,ILM3_2018AH09_33152D-5.fastq.gz,ONM2_2018AA02_33152D-5.fastq.gz
51329,GCF_001277195.1,ILM3_2020BK12_51329.fastq.gz,ONG3_2020AS05_51329.fastq.gz
13880,GCF_017298715.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
17061,GCF_000016645.1,ILM3_2019BL12_17061D-5.fastq.gz,ONG2_2019CY03_17061D-5.fastq.gz
14048,GCF_001456255.1,ILM3_2019AU02_14048DX.fastq.gz,ONG2_2019BS04_14048DX.fastq.gz
8739,GCF_003591595.1,ILM3_2018AL01_8739D-5.fastq.gz,ONG2_2019BG04_8739D-5.fastq.gz
BAA-894,GCF_000017665.1,ILM3_2019AB01_BAA-894D-5.fastq.gz,ONG2_2019BN03_BAA-894D-5.fastq.gz
35150,GCF_013168075.1,ILM3_2019CH10_35150DX.fastq.gz,ONG2_2019EA03_35150DX.fastq.gz
13182,GCF_900636985.1,ILM3_2019CV02_13182DX.fastq.gz,ONG2_2019EU01_13182DX.fastq.gz
10792,GCF_002119445.1,ILM3_2019BY08_10792DX.fastq.gz,ONG2_2019BS05_10792DX.fastq.gz
9341,GCF_900637835.1,ILM3_2018AI01_9341D-5.fastq.gz,ONM2_2018AB03_9341D-5.fastq.gz
23970,GCF_901482445.1,ILN1_2020AB18_23970.fastq.gz,ONG3_2020DC02_23970.fastq.gz
27340,GCF_010669205.1,ILM3_2019AK05_27340D-5.fastq.gz,ONM2_2019AC03_27340D-5.fastq.gz
25416,GCF_006094315.1,ILM3_2019AR09_25416D-5.fastq,ONG2_2019BK01_25416D-5.fastq.gz
43888,GCF_007922655.1,ILM3_2019CJ01_43888DX.fastq.gz,ONG2_2019EA04_43888DX.fastq.gz
14028,GCF_016864495.1,ILM3_2018AL08_14028DX.fastq.gz,ONG1_2018AP01_14028DX_4C.fastq.gz
33218,GCF_000953635.1,ILM3_2019AP10_33218D-5.fastq.gz,ONG2_2019AK06_33218D-5.fastq.gz
9150,GCF_000011885.1,ILM3_2018AB06_9150D-5.fastq.gz,ONG2_2019BB01_9150D-5.fastq.gz
33270,GCF_900637905.1,ILN1_2021AA32_33270.fastq.gz,ONG3_2021AB05_33270.fastq.gz
53103,GCF_000026505.1,ILM3_2019BL06_53103DX.fastq.gz,ONG2_2019DK04_53103DX.fastq.gz
19527,GCF_900187065.1,ILN1_2021AB04_19527.fastq.gz,ONG3_2021AC04_19527.fastq.gz
25611,GCF_001953955.1,ILM3_2018AJ07_25611D-5.fastq.gz,ONG2_2019BG05_25611D-5.fastq.gz
10556,GCF_900475505.1,ILM3_2019AY08_10556D-5.fastq.gz,ONG2_2019AU03_10556D-5.fastq.gz
13032,GCF_002847425.1,ILM3_2018AJ02_13032D-5.fastq.gz,ONG2_2019BG03_13032D-5.fastq.gz
13032,GCF_002847405.1,ILM3_2018AJ02_13032D-5.fastq.gz,ONG2_2019BG03_13032D-5.fastq.gz
6633,GCF_006094475.1,ILM3_2018AH02_6633D-5.fastq.gz,ONM2_2018AB01_6633D-5.fastq.gz
8293,GCF_000014445.1,ILM3_2019AB05_8293D-5.fastq.gz,ONG2_2019BL02_8293D-5.fastq.gz
15444,GCF_000013025.1,ILM3_2019BM05_15444D-5.fastq.gz,ONG2_2019DE01_15444D-5.fastq.gz
BAA-247,GCF_000959525.1,ILM3_2019AS03_BAA-247DX.fastq.gz,ONG2_2019BQ05_BAA-247DX.fastq.gz
49619,GCF_900636585.1,ILN1_2021AF20_49619.fastq.gz,ONG3_2021BT01_49619.fastq.gz
27853,GCF_900636755.1,ILM3_2018AJ10_27853DX.fastq,ONG2_2019AN04_27853DX.fastq.gz
13880,GCF_017299435.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298935.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298735.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298915.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
